644	Short
1470	Short
12	Short
57	Short
86	Short
1667	Short
94	Short
1651	Short
1638	Short
102	Short
152	Short
177	Short
205	Short
211	Short
217	Short
220	Short
1624	Short
268	Short
296	Short
1616	Short
336	Short
338	Short
1611	Short
1607	Short
375	Short
396	Short
1603	Short
406	Short
407	Short
410	Short
1588	Short
1584	Short
1570	Short
419	Short
437	Short
446	Short
453	Short
477	Short
1551	Short
1549	Short
1548	Short
498	Short
1546	Short
1543	Short
512	Short
1537	Short
523	Short
1527	Short
527	Short
545	Short
548	Short
555	Short
557	Short
561	Short
1501	Short
574	Short
602	Short
1490	Short
1489	Short
1487	Short
1483	Short
627	Short
1221	Short
47	Short
646	Short
686	Short
1465	Short
1460	Short
1457	Short
696	Short
702	Short
757	Short
761	Short
762	Short
1414	Short
771	Short
782	Short
797	Short
1397	Short
806	Short
808	Short
815	Short
825	Short
1364	Short
1350	Short
842	Short
859	Short
868	Short
870	Short
1340	Short
1337	Short
876	Short
1332	Short
881	Short
898	Short
937	Short
1318	Short
972	Short
1303	Short
1302	Short
975	Short
1299	Short
981	Short
1034	Short
1039	Short
1043	Short
1058	Short
1083	Short
1091	Short
1277	Short
1125	Short
1138	Short
1146	Short
1262	Short
1160	Short
1164	Short
1180	Short
1182	Short
1186	Short
1246	Short
1190	Short
1193	Short
1210	Short
1242	Short
1235	Short
668	Long
673	Long
674	Long
1469	Long
688	Long
693	Long
1456	Long
1452	Long
703	Long
707	Long
721	Long
722	Long
723	Long
739	Long
740	Long
742	Long
1439	Long
760	Long
1424	Long
1418	Long
767	Long
1413	Long
772	Long
1411	Long
792	Long
1406	Long
1391	Long
1377	Long
1372	Long
1365	Long
1349	Long
844	Long
845	Long
848	Long
857	Long
1348	Long
866	Long
1347	Long
1343	Long
871	Long
1335	Long
880	Long
1326	Long
891	Long
897	Long
1323	Long
903	Long
923	Long
1321	Long
938	Long
946	Long
952	Long
961	Long
964	Long
967	Long
968	Long
969	Long
1305	Long
1300	Long
977	Long
1298	Long
985	Long
987	Long
995	Long
1001	Long
18	Long
1005	Long
1006	Long
1009	Long
1011	Long
1017	Long
1018	Long
1022	Long
1024	Long
1296	Long
1038	Long
1291	Long
1287	Long
1044	Long
1049	Long
1050	Long
1051	Long
1052	Long
1054	Long
1285	Long
1063	Long
1070	Long
1076	Long
1281	Long
1085	Long
1088	Long
1089	Long
1279	Long
1093	Long
1094	Long
1095	Long
1103	Long
1106	Long
1108	Long
1120	Long
1123	Long
1272	Long
1126	Long
1127	Long
1129	Long
1268	Long
1139	Long
1267	Long
1149	Long
1151	Long
1158	Long
1159	Long
1253	Long
1251	Long
1170	Long
1175	Long
1249	Long
1181	Long
1248	Long
1247	Long
1245	Long
1244	Long
1194	Long
1198	Long
1200	Long
1243	Long
1211	Long
1241	Long
1227	Long
1234	Long
1238	Long
1687	Long
1472	Long
1473	Long
639	Long
638	Long
1478	Long
625	Long
624	Long
618	Long
616	Long
1498	Long
601	Long
600	Long
595	Long
593	Long
587	Long
581	Long
577	Long
1500	Long
568	Long
565	Long
564	Long
1502	Long
1508	Long
1513	Long
552	Long
1519	Long
1520	Long
542	Long
539	Long
536	Long
1525	Long
1532	Long
1538	Long
499	Long
1547	Long
497	Long
491	Long
489	Long
488	Long
1553	Long
457	Long
1555	Long
451	Long
450	Long
448	Long
1560	Long
1562	Long
434	Long
422	Long
421	Long
1563	Long
415	Long
412	Long
1589	Long
1592	Long
1601	Long
1604	Long
379	Long
1606	Long
374	Long
372	Long
371	Long
1612	Long
1615	Long
335	Long
308	Long
300	Long
299	Long
298	Long
297	Long
1620	Long
293	Long
282	Long
271	Long
270	Long
1621	Long
265	Long
264	Long
253	Long
250	Long
249	Long
245	Long
243	Long
235	Long
231	Long
228	Long
223	Long
1625	Long
1626	Long
1627	Long
1630	Long
193	Long
187	Long
186	Long
1633	Long
168	Long
154	Long
1636	Long
141	Long
139	Long
137	Long
134	Long
107	Long
1637	Long
98	Long
1661	Long
92	Long
1668	Long
84	Long
83	Long
79	Long
76	Long
70	Long
68	Long
1673	Long
49	Long
1683	Long
39	Long
35	Long
34	Long
30	Long
29	Long
22	Long
1003	Long
